COD_TOPONIMO;DESCRIZIONE
539;STRADA ANTICA
540;STRADA ARGINALE
541;STRADA BASSA
542;STRADA CANTONIERA
543;STRADA CHIUSA
544;STRADA CIECA
545;STRADA CIRCOLARE
546;STRADA COMUNALE
547;STRADA CONSORZIALE
548;STRADA DESTRA
549;STRADA DI LEVANTE
550;STRADA DI PONENTE
551;STRADA ESTERNA
552;STRADA EXTRAMURALE
553;STRADA INFERIORE
554;STRADA INTERCOMUNALE
555;STRADA INTERNA
556;STRADA INTERPODERALE
557;STRADA LARGA
558;STRADA LATERALE
559;STRADA LITORANEA
560;STRADA MULATTIERA
561;STRADA NUOVA
562;STRADA PANORAMICA
563;STRADA PARALLELA
564;STRADA PEDEMONTANA
565;STRADA PRIVATA
566;STRADA PROVINCIALE
567;STRADA ROMANA
568;STRADA ROTABILE
569;STRADA RURALE
570;STRADA SINISTRA
571;STRADA STATALE
572;STRADA STORTA
573;STRADA STRETTA
574;STRADA SUPERIORE
575;STRADA TANGENZIALE
576;STRADA TRASVERSALE
577;STRADA TRAVERSA
578;STRADA VECCHIA
579;STRADA VICINALE
580;STRADELLA DESTRA
581;STRADELLA SINISTRA
582;STRETTO
583;STRETTOIA
584;STRETTOIA DESTRA
585;STRETTOIA SINISTRA
586;STRETTOLA
587;STURA
588;SUPERSTRADA
589;TANGENZIALE
590;TERRAZZA
591;TRASVERSALE DEL CORSO
592;TRASVERSALE DI VIALE
593;TRASVERSALE VIA
594;TRAVERSALE PRIVATA
595;TRASVERSALE PROVINCIALE
596;TRAVERSALE STRADA
597;TRATTURO
598;TRAVERSA CORSO
599;TRAVERSA DEL VIALE
600;TRAVERSA DEL VILLAGGIO
601;TRAVERSA DELLA LOCALITA'
602;TRAVERSA DI VIA
603;TRAVERSA PRIVATA
604;TRAVERSA STRADA
605;VALCO
606;VALICO
607;VALLE
608;VIA ACCORCIATOIA
609;VIA ALTA
610;VIA ANTICA
611;VIA ARGINALE
612;VIA BASSA
613;VIA BELVEDERE
614;VIA CANTONIERA
615;VIA CHIUSA
616;VIA CIECA
617;VIA CIRCOLARE
618;VIA CIRCUMVALLAZIONE
619;VIA COMUNALE
620;VIA CONSORZIALE
621;VIA DESTRA
622;VIA DI LEVANTE
623;VIA DI PONENTE
624;VIA ESTERNA
625;VIA ESTRAMURALE
626;VIA INFERIORE
627;VIA INTERCOMUNALE
628;VIA INTERNA
629;VIA INTERPODERALE
630;VIA LARGA
631;VIA LATERALE
632;VIA LITORANEA
633;VIA LUNGOMARE
634;VIA MULATTIERA
635;VIA NUOVA
636;VIA PANORAMICA
637;VIA PARALLELA
638;VIA PEDEMONTANA
639;VIA PRIVATA
640;VIA PROVINCIALE
641;VIA ROMANA
642;VIA ROTABILE
643;VIA RURALE
644;VIA SINISTRA
645;VIA STATALE
646;VIA STORTA
647;VIA STRETTA
648;VIA SUPERIORE
649;VIA TANGENZIALE
650;VIA TRASVERSALE
651;VIA TRAVERSA
652;VIA VECCHIA
653;VIA VICINALE
654;VIALE BELVEDERE
655;VIALE LITORANEO
656;VIALE LUNGOMARE
657;VIALONE
658;VICO ALTO
659;VICO BASSO
660;VICO BELVEDERE
661;VICO CHIUSO
662;VICO CIECO
663;VICO DRITTO
664;VICO INFERIORE
665;VICO LUNGO
666;VICO NUOVO
667;VICO PRIVATO
668;VICO STORTO
669;VICO STRETTO
670;VICO VECCHIO
671;VICOLETTO CHIUSO
672;VICOLETTO CIECO
673;VICOLETTO DRITTO
674;VICOLETTO INFERIORE
675;VICOLETTO LUNGO
676;VICOLETTO NUOVO
677;VICOLETTO PRIVATO
678;VICOLETTO STORTO
679;VICOLETTO STRETTO
680;VICOLETTO VECCHIO
681;VICOLO ALTO
682;VICOLO BASSO
683;VICOLO BELVEDERE
684;VICOLO CHIUSO
685;VICOLO CIECO
686;VICOLO DRITTO
