CodiceAmministrativo;Sezione;IdentificativoSoggetto;TipoSoggetto;IdentificativoImmobile;TipoImmobile;CodiceDiritto;TitoloNonCodificatoIta;TitoloNonCodificatoTed;QuotaNumeratore;QuotaDenominatore;Regime;SoggettoDiRiferimento;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;Partita;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;IdentificativoTitolarita;
M113;;103263;P;663839;F;31 ;;;1;3; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230926;
M113;;103263;P;663840;F;31 ;;;1;3; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230925;
M113;;103263;P;663841;F;31 ;;;1;3; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230923;
M113;;103263;P;661497;F;31 ;;;1;3; ;0;03021994;V;000289;001;1994;28041995;0000113;;;;;;;234860;;1230929;
M113;;103265;P;663656;F;2 ;;;1;2; ;0;30101972;D;001759;001;1972;24051995;1000477;;;;;;;240290;;1242264;
M113;;103271;P;662083;F;2 ;;;1;2; ;;10012013;D;000112;001;2013;10012013;;;;;;;;1175575;;4985661;
M113;;103271;P;662084;F;2 ;;;1;2; ;;10012013;D;000113;001;2013;10012013;;;;;;;;1175576;;4985663;
M113;;103274;P;661864;F;80 ;;;0;0; ;0;01010001;I;  0000;000;2000;01011992;0000180;;;;;;;220;;596059;
M113;;103297;P;662305;F;1 ;;;0;0; ;0;16041974;D;001058;001;1974;16051995;1000319;;;;;;;238207;;1237451;
M113;;103297;P;662309;F;1 ;;;0;0; ;0;16041974;D;001058;001;1974;16051995;1000319;;;;;;;238207;;1237450;
M113;;103308;P;662237;F;1 ;;;0;0; ;0;21111979;D;001667;001;1984;20071994;1000190;;;;;;;162670;;966305;
M113;;103308;P;662248;F;1 ;;;0;0; ;0;21111985;D;000769;002;1986;20071994;1000190;;;;;;;162702;;966440;
M113;;104878;P;859594;F;2 ;;;2;6; ;;31032007;A;009591;001;2007;31032007;;;;;;;;917725;;4275222;
M113;;108633;P;661346;F;32 ;;;0;0; ;0;12051986;D;001954;001;1987;23051995;1000436;;;;;;;239978;;1241580;
M113;;115454;P;661394;F;1 ;;;0;0; ;0;28041999;D;001945;002;1999;02081999;1000972;;;;;;;491604;;2587432;
M113;;115454;P;661390;F;1 ;;;0;0; ;0;28041999;D;001945;002;1999;02081999;1000972;;;;;;;491604;;2587433;
M113;;115454;P;661393;F;2 ;;;1;2;C;0;24041999;D;001946;001;1999;02081999;1000973;;;;;;;491608;;2587440;
M113;;115462;P;662884;F;1 ;;;0;0; ;;25062009;D;000886;001;2011;09032011;;;;;;;;1078431;;4745400;
M113;;115462;P;662885;F;1 ;;;0;0; ;;25062009;D;000886;001;2011;09032011;;;;;;;;1078431;;4745401;
M113;;115462;P;957552;F;1 ;;;0;0; ;;09032011;V;000899;001;2011;10032011;;;;;;;;1078512;;4745587;
M113;;115463;P;663495;F;1 ;;;0;0; ;0;20071999;D;000336;001;2000;09022000;1001020;;;;;;;516227;;2837268;
M113;;115463;P;663443;F;1 ;;;0;0; ;0;20071999;D;000336;001;2000;09022000;1001020;;;;;;;516227;;2837270;
