E227; ;354496;F;2;1; ;A04;03;1;37;77000;39,77;;;;;;T;;;;26071991;22062016;V;074366;001;2016;;;;;;;;CORREZIONE SU DATI IDENTIFICATIVI E METRICI DEL PROTOCOLLO DI PRESENTAZIONE PLANIMETRICA N.4733/1991;4574634;;;24112016;VAR;AGGIORNAMENTO PLANIMETRICO;;;;
E227; ;354496;F;2;2;;0024;00181;;0002;;
E227; ;354496;F;2;3;236;SAN SILVESTRO;;;;136;
E227; ;354497;F;4;1; ;A04;02;4;92;264000;136,34;;;;;;T;;;;23121996;21051997;D;001267;001;1997;;;;;;;1001540;PASSAGGI INTERMEDI DA ESAMINARE;1530522;;;24112016;IST;COMPRAVENDITA;;;;
E227; ;354497;F;4;2;;0024;00182;;;;
E227; ;354497;F;4;3;236;DE GIOSA;000556;;;46;
E227; ;354498;F;3;1; ;A04;03;6;138;462000;238,6;;;;;;T;;;;26091986;30101999;V;012991;001;1986;;;;;;;0000383;;1704732;;;24112016;VCL;;;;4;
E227; ;354498;F;3;2;;0024;00183;;0001;;
E227; ;354498;F;3;3;236;DE GIOSA;;;;46;
E227; ;354499;F;1;1; ;A05;03;1,5;;84000;43,38;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0000551;;1079834;;;24112016;;;;;;
E227; ;354499;F;1;2;;0024;00183;;0002;;
E227; ;354499;F;1;3;236;DE GIOSA;;;;46;
E227; ;354505;F;2;1; ;A03;02;4,5;93;346500;178,95;;;;;;T;;;;21121992;07021998;V;009351;002;1992;;;;;;;0000392;;1560424;;;24112016;CLS;;;;;
E227; ;354505;F;2;2;;0024;00185;;0005;;
E227; ;354505;F;2;3;236;DE GIOSA;000088;;;46;
E227; ;354508;F;4;1; ;C06;02;39;39;97500;50,35;;;;;;T;;;;21121992;01021999;V;009352;002;1992;;;;;;;1000187;;1615898;;199900000000000323;01021999;VAR;CLASSAMENTO;;;;
E227; ;354508;F;4;2;;0024;00187;;;;
E227; ;354508;F;4;3;236;DE GIOSA;000084;;;46;
E227; ;354511;F;3;1; ;A03;03;9,5;239;855000;441,57;;;;;;T;;;;27031987;25101995;V;002429;001;1987;;;;;;;0000738;;1444750;;;01021999;CLS;;;;;
E227; ;354511;F;3;2;;0024;00190;;;;
E227; ;354511;F;3;3;236;DE GIOSA;60A;;;46;
E227; ;354513;F;3;1; ;A04;03;7;153;539000;278,37;;;;;;T;;;;26061986;21041994;V;009546;001;1986;;;;;;;0000561;;1382024;;;01021999;VAR;AMPLIAMENTO;;;;
E227; ;354513;F;3;2;;0024;00192;;;;
E227; ;354513;F;3;3;236;DE GIOSA;;;;46;
E227; ;354514;F;2;1; ;A04;03;5;98;385000;198,84;;;;;;T;;;;30071986;08031999;V;011203;001;1986;;;;;;;0001674;;1626610;;;01021999;AMP;;;;4;
E227; ;354514;F;2;2;;0024;00193;;;;
E227; ;354514;F;2;3;236;DE GIOSA;;;;46;
E227; ;354515;F;1;1; ;A04;03;4,5;99;346500;178,95;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0000631;;1079834;;;01021999;;;;;;
E227; ;354515;F;1;2;;0024;00199;;;;
E227; ;354515;F;1;3;236;DE GIOSA;000069;;;46;
E227; ;354516;F;2;1; ;A04;03;4,5;120;346500;178,95;;;;;;T;;;;14041994;28061999;D;012630;002;1994;;;;;;;1001931;PASSAGGI INTERMEDI DA ESAMINARE;1666222;;;01021999;DEN;;;;;
E227; ;354516;F;2;2;;0024;00200;;;;
E227; ;354516;F;2;3;236;DE GIOSA;000072;;;46;
E227; ;354517;F;1;1; ;A04;02;3,5;72;231000;119,3;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0000156;;1079834;;;01021999;;;;;;
E227; ;354517;F;1;2;;0024;00202;;;;
E227; ;354517;F;1;3;236;DE GIOSA;000074;;;46;
E227; ;354522;F;1;1; ;A04;03;3,5;79;269500;139,19;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0001119;;1079834;;;01021999;;;;;;
E227; ;354522;F;1;2;;0024;00206;;;;
E227; ;354522;F;1;3;236;SAN SILVESTRO;;;;136;
E227; ;354524;F;2;1; ;A04;03;3;94;231000;119,3;;;;;;T;;;;01010001;22062016;V;074368;001;2016;;;;;;;;CORREZIONE SU DATI IDENTIFICATIVI E METRICI DEL PROTOCOLLO DI PRESENTAZIONE PLANIMETRICA N.A/0000;4574638;;;01021999;VAR;AGGIORNAMENTO PLANIMETRICO;;;;
E227; ;354524;F;2;2;;0024;00208;;;;
E227; ;354524;F;2;3;236;SAN SILVESTRO;000046;000048;;136;
E227; ;354526;F;1;1; ;A04;03;3,5;88;269500;139,19;;;;;;T;;;;01010001;30061987;I;;000;;;;;;;;0002409;;1079834;;;01021999;;;;;;
E227; ;354526;F;1;2;;0024;00211;;;;
E227; ;354526;F;1;3;236;SAN SILVESTRO;;;;136;
E227; ;354527;F;4;1; ;A04;02;5,5;113;363000;187,47;;;;;;T;;;;09121985;12082011;V;052561;001;2011;;;;;;;;;3537239;;;01021999;VTO;VARIAZIONE DI TOPONOMASTICA RICHIESTA DAL COMUNE;;;4;
E227; ;354527;F;4;2;;0024;00212;;;;
E227; ;354527;F;4;3;236;G. MARCONI;;;;415;
E227; ;354550;F;2;1; ;A04;02;3,5;;231000;119,3;;;;;;T;;;;01010001;12082011;V;053028;001;2011;;;;;;;;;3537706;;;01021999;VTO;VARIAZIONE DI TOPONOMASTICA RICHIESTA DAL COMUNE;;;;
E227; ;354550;F;2;2;;0024;00229;;;;
E227; ;354550;F;2;3;236;S. PELLICO;000036;;;438;
E227; ;354551;F;7;1; ;A04;02;4;88;264000;136,34;;;;;;T;;;;23091986;25052016;V;051363;001;2016;;;;;;;;;4545465;;;01021999;VAR;G.A.F. CODIFICA PIANO INCOERENTE;;;;
E227; ;354551;F;7;2;;0024;00230;;;;
E227; ;354551;F;7;3;236;S. PELLICO;;;;438;
E227; ;354552;F;2;1; ;A04;03;5,5;121;423500;218,72;;;;;;T;;;;09101987;12082011;V;053030;001;2011;;;;;;;;;3537708;;;01021999;VTO;VARIAZIONE DI TOPONOMASTICA RICHIESTA DAL COMUNE;;;4;
E227; ;354552;F;2;2;;0024;00231;;0001;;
E227; ;354552;F;2;3;236;S. PELLICO;;;;438;
E227; ;354554;F;2;1; ;A04;03;5,5;124;423500;218,72;;;;;;T;;;;09121985;17091990;V; 46885;;1985;;;;;;;0002555;;1168848;;;01021999;CLA;;;;;
E227; ;354554;F;2;2;;0024;00233;;0001;;;0024;00233;;0003;;
E227; ;354554;F;2;3;236;OSANNA;;;;107;
E227; ;354555;F;3;1; ;C06;02;38;38;95000;49,06;;;;;;T;;;;09121985;12082011;V;053032;001;2011;;;;;;;;;3537710;;;01021999;VTO;VARIAZIONE DI TOPONOMASTICA RICHIESTA DAL COMUNE;;;;
E227; ;354555;F;3;2;;0024;00233;;0002;;
E227; ;354555;F;3;3;236;S. PELLICO;;;;438;
E227; ;354557;F;7;1; ;A04;03;4,5;89;346500;178,95;;;;;;T;;;;14081986;12082011;V;052563;001;2011;;;;;;;;;3537241;;;01021999;VTO;VARIAZIONE DI TOPONOMASTICA RICHIESTA DAL COMUNE;;;;
E227; ;354557;F;7;2;;0024;00235;;;;
E227; ;354557;F;7;3;236;G. MARCONI;;;;415;
