CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;Rendita-lire;Rendita-euro;ValoreImis;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;Piano5;Piano6;Piano7;Piano8;Piano9;Piano10;Piano11;Piano12;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione_ita;Annotazione_ted;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica
L322;;626792;F;1;1;;E07;;;;0;0;0;;;;;;;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;41;201;;0;;
L322;;626793;F;2;1;;C06;1;20;22;56000;28,92;4858,56;;;;;;T;;;;;;;;;;;;15121992;6071994;V;3134;A01;1992;;;;;;;465;159323;;0;;
L322;;626794;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4022004;4022004;V;523;1;2004;;;;;;;C;665892;;;;
L322;;626795;F;4;1;;A03;1;3,5;79;213500;110,26;18523,68;;;;;;2;3;;;;;;;;;;;27121993;17081995;D;508;1;1994;;;;;;;1000291;260195;;0;;
L322;;626796;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19121989;17021995;V;3966;0;1989;;;;;;;C;216022;;;;
L322;;626797;F;6;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;18112002;18112002;V;3233;1;2002;;;;;;;C;620475;;;;
L322;;626798;F;6;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;18112002;18112002;V;3233;1;2002;;;;;;;C;620475;;;;
L322;;626799;F;1;1;;A06;5;3,5;;175000;90,38;15183,84;;;;;;S1;T;1;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;53;201;;0;;
L322;;626800;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;17091990;10071992;V;2355;1;1990;;;;;;;C;9317;;;;
L322;;626801;F;1;1;;E07;;;;0;0;0;;;;;;;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;38;201;;0;;
L322;;626802;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;4012000;4012000;V;2;1;2000;;;;;;;C;511095;;;;
L322;;626803;F;1;1;;A02;3;7;216;735000;379,6;63772,8;;;;;;T;1;2;3;;;;;;;;;4012000;4012000;A;B00212;1;1999;;;;;;;1000579;511179;;200000407;;
L322;;626804;F;2;1;;A03;3;4,5;104;378000;195,22;32796,96;;;;;;T;1;2;3;;;;;;;;;15042000;14092000;D;2328;1;2000;;;;;;;1000617;542130;;200001767;;
L322;;626805;F;2;1;;C06;1;28;31;78400;40,49;6802,32;;;;;;T;;;;;;;;;;;;15042000;14092000;D;2328;1;2000;;;;;;;1000617;542130;;200001767;;
L322;;626806;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;19112014;15122014;V;4986;1;2014;;;;;;;C;1257864;;;;
L322;;626807;F;5;1;;A03;3;8,5;186;714000;368,75;61950;;;;;;T;1;2;3;;;;;;;;;23102003;23102003;V;3581;1;2003;;;;;;;;655780;;200300964;;
L322;;626808;F;4;1;;A03;2;4;102;288000;148,74;24988,32;;;;;;S1;T;2;;;;;;;;;;30121991;5062014;V;2194;1;2014;;;;;;;;1236489;;0;;
L322;;626809;F;4;1;;A03;2;4,5;76;324000;167,33;28111,44;;;;;;S1;1;2;;;;;;;;;;30121991;5062014;V;2194;1;2014;;;;;;;;1236489;;0;;
L322;;626810;F;1;1;;A03;2;7,5;171;540000;278,89;46853,52;;;;;;S1;T;1;2;;;;;;;;;11041986;9021994;A;1203;1;1986;;;;;;;1000127;109816;;0;;
L322;;626811;F;2;1;;A03;1;6;145;366000;189,02;31755,36;;;;;;T;1;2;;;;;;;;;;9101998;10052000;D;1171;2;2000;;;;;;;1000595;527506;;;;
L322;;626812;F;2;1;;A03;1;6;79;366000;189,02;31755,36;;;;;;T;1;2;;;;;;;;;;31121991;6071994;V;4425;A01;1991;;;;;;;407;159330;;0;;
L322;;626813;F;5;1;;C02;1;5;6;14000;7,23;1214,64;;;;;;T;;;;;;;;;;;;5101998;15031999;D;487;1;1999;;;;;;;1000525;473390;;0;;
L322;;626814;F;2;1;;C02;1;45;54;126000;65,07;10931,76;;;;;;T;1;;;;;;;;;;;31121991;30111994;V;4463;1;1991;;;;;;;408;193382;;0;;
L322;;626815;F;2;1;;A03;2;3,5;62;252000;130,15;21865,2;;;;;;T;1;3;;;;;;;;;;1011988;19051994;V;1183;A01;1988;;;;;;;262;143004;;0;;
L322;;626816;F;4;1;;A03;3;6;120;504000;260,29;43728,72;;;;;;T;2;3;;;;;;;;;;10061993;30111994;D;1980;1;1993;;;;;;;1000192;193455;;0;;
L322;;626817;F;5;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;21112008;24112008;V;4279;1;2008;;;;;;;C;989280;;;;
L322;;626818;F;5;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;21112008;24112008;V;4279;1;2008;;;;;;;C;989280;;;;
L322;;626819;F;4;1;;A04;1;5;103;325000;167,85;28198,8;;;;;;T;1;2;3;;;;;;;;;5061997;7081997;D;2054;1;1997;;;;;;;1000466;394051;;0;;
L322;;626820;F;4;1;;A04;1;5,5;114;357500;184,63;31017,84;;;;;;T;1;2;3;;;;;;;;;4051994;5051995;D;1630;1;1994;;;;;;;1000264;235938;;0;;
L322;;626821;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;23051997;23051997;V;1346;1;1997;;;;;;;C;383580;;;;
L322;;626822;F;3;1;;C02;1;15;18;42000;21,69;3643,92;;;;;;S1;;;;;;;;;;;;25111994;4051995;D;35;1;1994;;;;;;;1000262;235866;;0;;
L322;;626823;F;2;1;;C02;1;83;100;232400;120,02;20163,36;;;;;;S1;T;;;;;;;;;;;4051994;5051995;D;1630;2;1994;;;;;;;1000265;235941;;0;;
L322;;626824;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;25072011;1082011;V;2932;1;2011;;;;;;;C;1096217;;;;
L322;;626825;F;3;1;;A03;3;5,5;107;462000;238,6;40084,8;;;;;;1;2;;;;;;;;;;;13102010;13102010;V;3240;1;2010;;;;;;;;1060541;;201001179;;
L322;;626826;F;1;1;;C01;8;35;40;689500;356,1;20564,78;;;;;;T;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;11;201;;0;;
L322;;626827;F;1;1;;B04;1;849;234;2037600;1052,34;154693,98;;;;;;T;1;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;11;201;;0;;
L322;;626828;F;1;1;;A02;1;9;311;693000;357,9;60127,2;;;;;;T;1;2;3;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;73;201;;0;;
L322;;626829;F;1;1;;E07;;;;0;0;0;;;;;;;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;39;201;;0;;
L322;;626830;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;3081988;17021995;V;2633;0;1988;;;;;;;C;216007;;;;
L322;;626831;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;3081988;17021995;V;2633;0;1988;;;;;;;C;216007;;;;
L322;;626832;F;6;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;18062012;18062012;V;4494;1;2012;;;;;;;C;1150411;;;;
L322;;626833;F;6;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;18062012;18062012;V;4494;1;2012;;;;;;;C;1150411;;;;
L322;;626834;F;2;1;;C02;1;13;16;36400;18,8;3158,4;;;;;;T;;;;;;;;;;;;9101998;10052000;D;1171;3;2000;;;;;;;1000596;527518;;;;
L322;;626835;F;3;1;;C06;1;26;29;72800;37,6;6316,8;;;;;;T;;;;;;;;;;;;21091996;27012000;D;201;1;2000;;;;;;;1000581;514377;;;;
L322;;626836;F;3;1;;A03;2;7;142;504000;260,29;43728,72;;;;;;T;1;2;;;;;;;;;;21091996;27012000;D;201;1;2000;;;;;;;1000581;514377;;;;
L322;;626837;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;17102013;11112013;V;4661;1;2013;;;;;;;C;1214070;;;;
L322;;626838;F;3;1;;C02;1;20;24;56000;28,92;4858,56;;;;;;T;;;;;;;;;;;;20072001;24082001;D;2085;1;2001;;;;;;;1000646;577323;;;;
L322;;626839;F;3;1;;A03;2;9;220;648000;334,66;56222,88;;;;;;T;1;2;3;;;;;;;;;20072001;24082001;D;2085;2;2001;;;;;;;1000647;577324;;;;
L322;;626840;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;2061993;17021995;V;1640;J10;1993;;;;;;;C;215995;;;;
L322;;626841;F;3;1;;A03;3;5,5;134;462000;238,6;40084,8;;;;;;S1;T;;;;;;;;;;;2061993;8071999;V;1640;1;1993;;;;;;;1000248;488528;;0;;
L322;;626842;F;3;1;;A03;3;6;126;504000;260,29;43728,72;;;;;;S1;1;;;;;;;;;;;2061993;8071999;V;1640;1;1993;;;;;;;1000248;488528;;0;;
L322;;626843;F;3;1;;A03;3;5,5;126;462000;238,6;40084,8;;;;;;S1;2;;;;;;;;;;;2061993;8071999;V;1640;1;1993;;;;;;;1000248;488528;;0;;
L322;;626844;F;3;1;;C06;1;25;28;70000;36,15;6073,2;;;;;;S1;;;;;;;;;;;;2061993;8071999;V;1640;1;1993;;;;;;;1000248;488528;;0;;
L322;;626845;F;4;1;;A04;1;2,5;45;162500;83,92;14098,56;;;;;;T;1;2;;;;;;;;;;30082000;29092000;D;2474;1;2000;;;;;;;1000619;543795;;;;
L322;;626846;F;3;1;;C06;1;41;46;114800;59,29;9960,72;;;;;;T;;;;;;;;;;;;1011987;16062014;V;2331;1;2014;;;;;;;;1237532;;0;;
L322;;626847;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;13082010;13082010;V;2609;1;2010;;;;;;;C;1054487;;;;
L322;;626848;F;3;1;;A03;2;3,5;54;252000;130,15;21865,2;;;;;;;;;;;;;;;;;;14012013;15042013;V;1563;1;2013;;;;;;;;1188640;;201300735;;
L322;;626849;F;1;1;;A06;5;1;;50000;25,82;4337,76;;;;;;2;;;;;;;;;;;;1010001;1011992;I;;0;2000;;;;;;;66;201;;0;;
L322;;626850;F;4;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;10052012;10052012;V;3756;1;2012;;;;;;;C;1144842;;;;
L322;;626851;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;26111993;17021995;V;3492;1;1993;;;;;;;C;215983;;;;
L322;;626852;F;4;1;;C06;1;27;37;75600;39,04;6558,72;;;;;;T;;;;;;;;;;;;10052012;10052012;V;3756;1;2012;;;;;;;;1144842;;201200782;;
L322;;626853;F;3;1;;C02;1;12;19;33600;17,35;2914,8;;;;;;T;1;;;;;;;;;;;20082007;20082007;V;12262;1;2007;;;;;;;;937069;;200701129;;
L322;;626854;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;30062010;30062010;V;2105;1;2010;;;;;;;C;1049788;;;;
L322;;626855;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;6022003;6022003;V;592;1;2003;;;;;;;C;629176;;;;
L322;;626856;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;6022003;6022003;V;592;1;2003;;;;;;;C;629176;;;;
L322;;626857;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;23111999;25111999;V;2985;1;1999;;;;;;;C;506473;;;;
L322;;626858;F;2;1;;A03;3;4;79;336000;173,53;29153,04;;;;;;1;;;;;;;;;;;;25021993;25111999;D;2986;2;1999;;;;;;;1000567;506487;;0;;
L322;;626859;F;2;1;;A03;3;6,5;149;546000;281,99;47374,32;;;;;;T;2;3;;;;;;;;;;25021993;25111999;D;2986;1;1999;;;;;;;1000566;506479;;0;;
L322;;626860;F;3;1;;C06;1;37;41;103600;53,5;8988;;;;;;T;;;;;;;;;;;;26031987;25111999;V;1627;1;1987;;;;;;;1000566;506489;;0;;
L322;;626861;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;31081993;5121995;V;2414;1;1993;;;;;;;C;296589;;;;
L322;;626862;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;31081993;5121995;V;2414;1;1993;;;;;;;C;296589;;;;
L322;;626863;F;2;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;31081993;5121995;V;2414;1;1993;;;;;;;C;296589;;;;
L322;;626864;F;3;1;;;;;;0;0;0;;;;;;;;;;;;;;;;;;21071997;21071997;V;1876;1;1997;;;;;;;C;391043;;;;
