CODICE AMMINISTRATIVO;SEZIONE;IDENTIFICATIVO SOGGETTO;TIPO SOGGETTO;IDENTIFICATIVO IMMOBILE;TIPO IMMOBILE;COMUNE CATASTALE;TIPO PARTICELLA;IDENTIFICATIVO PARTICELLA;PORZIONE MATERIALE;LINGUA;TESTO NON CODIFICATO;CODICE DIRITTO;TITOLO NON CODIFICATO ITA;TITOLO NON CODIFICATO TED;QUOTA NUMERATORE;QUOTA DENOMINATORE;REGIME;SOGGETTO DI RIFERIMENTO;DATA DI VALIDITA;TIPO NOTA;NUMERO NOTA;PROGRESSIVO NOTA;ANNO NOTA;DATA DI REGISTRAZIONE IN ATTI;PARTITA;DATA DI VALIDITA;TIPO NOTA;NUMERO NOTA;PROGRESSIVO NOTA;ANNO NOTA;DATA DI REGISTRAZIONE IN ATTI;IDENTIFICATIVO MUTAZIONE INIZIALE;IDENTIFICATIVO MUTAZIONE FINALE;IDENTIFICATIVO TITOLARITA
L322;;10062370;P;628083;F;404;1;39/1; ;;;2;;;1;6; ;;19051971;G;984;0;1971;22022007;;;;;;;;12171670;;11457775
L322;;10062370;P;628083;F;404;1;39/1; ;;;2;;;1;30; ;;13101982;G;3141;0;1982;22022007;;;;;;;;12171676;;11457776
L322;;10062370;P;628083;F;404;1;39/1; ;;;2;;;1;20; ;;7101991;G;3460;0;1991;22022007;;;;;;;;12171686;;11457769
L322;;10079673;P;855250;F;404;1;224/1; ;;;2;;;1;6; ;;5111997;G;4121;0;1997;22022007;;;;;;;;12171514;;11458490
L322;;10090850;P;672877;F;404;1;946;11;;;2;;;1;2; ;;24092002;G;3823;0;2002;2102002;;;;;;;;13058799;;11461535
L322;;10090850;P;672878;F;404;1;946;11;;;2;;;1;2; ;;24092002;G;3823;0;2002;2102002;;;;;;;;13058799;;11461626
L322;;10091676;P;855250;F;404;1;224/1; ;;;2;;;1;6; ;;5111997;G;4121;0;1997;22022007;;;;;;;;12171514;;11458491
L322;;10138674;P;627641;F;404;1;721; ;;;2;;;1;2; ;;25101963;G;1811;0;1963;11042007;;;;;;;;12197992;;11460905
L322;;10165944;P;627384;F;404;1;597; ;;;2;;;1;2;C;10052062;10041969;G;710;0;1969;12042007;;;;;;;;12199062;;11460320
L322;;10165944;P;627385;F;404;1;597; ;;;2;;;1;2;C;10052062;10041969;G;710;0;1969;12042007;;;;;;;;12199062;;11460322
L322;;10183454;P;1039311;F;404;1;1052; ;;;32;;;0;0; ;;23012014;G;378;0;2014;3022014;;;;;;;;13624837;;11462103
L322;;10233168;P;628088;F;404;1;39/2;3;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457781
L322;;10233168;P;628088;F;404;1;40/3; ;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457796
L322;;10233168;P;628088;F;404;1;39/2;4;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457790
L322;;10233168;P;628088;F;404;1;39/2;2;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457787
L322;;10233532;P;628251;F;404;1;159/1; ;;;2;;;1;3; ;;17061971;G;1208;0;1971;8022007;;;;;;;;12160873;;11458358
L322;;10233848;P;628251;F;404;1;159/1; ;;;2;;;1;3; ;;17061971;G;1208;0;1971;8022007;;;;;;;;12160873;;11458359
L322;;10234333;P;628251;F;404;1;159/1; ;;;2;;;1;3; ;;17061971;G;1208;0;1971;8022007;;;;;;;;12160873;;11458360
L322;;10234452;P;628088;F;404;1;39/2;4;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457791
L322;;10234452;P;628088;F;404;1;39/2;3;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457789
L322;;10234452;P;628088;F;404;1;39/2;2;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457788
L322;;10234452;P;628088;F;404;1;40/3; ;;;2;;;1;2; ;;20062003;G;2753;0;2003;20082004;;;;;;;;13091700;;11457797
L322;;10256607;P;627037;F;404;1;368;1;;;2;;;1;2; ;;4041977;G;806;0;1977;17042007;;;;;;;;12201601;;11459228
L322;;10256607;P;627034;F;404;1;368;1;;;2;;;1;2; ;;4041977;G;806;0;1977;17042007;;;;;;;;12201601;;11459222
L322;;10256607;P;627035;F;404;1;368;1;;;2;;;1;2; ;;4041977;G;806;0;1977;17042007;;;;;;;;12201601;;11459225
L322;;10256607;P;627033;F;404;1;368;1;;;2;;;1;2; ;;4041977;G;806;0;1977;17042007;;;;;;;;12201601;;11459219
L322;;10256607;P;627032;F;404;1;368;1;;;2;;;1;2; ;;4041977;G;806;0;1977;17042007;;;;;;;;12201601;;11459216
L322;;10256769;P;855250;F;404;1;224/1; ;;;2;;;1;27; ;;17111999;G;4515;0;1999;21022007;;;;;;;;12170712;;11458492
L322;;10256769;P;855250;F;404;1;224/1; ;;;2;;;2;27; ;;16111983;G;3311;0;1983;22022007;;;;;;;;12171511;;11458493
L322;;10258251;P;627578;F;404;1;683;2;;;1;;;0;0; ;;6031986;G;822;0;1986;27042007;;;;;;;;12206854;;11460804
L322;;10258251;P;627579;F;404;1;683;2;;;1;;;0;0; ;;6031986;G;822;0;1986;27042007;;;;;;;;12206854;;11460806
L322;;10258330;P;627920;F;404;1;906;5;;;1;;;0;0; ;;4042000;G;1335;0;2000;7052007;;;;;;;;12209577;;11461465
L322;;10258330;P;627906;F;404;1;906;5;;;1;;;0;0; ;;4042000;G;1335;0;2000;7052007;;;;;;;;12209577;;11461443
L322;;10258330;P;627905;F;404;1;906;5;;;1;;;0;0; ;;4042000;G;1335;0;2000;7052007;;;;;;;;12209577;;11461442
L322;;10258537;P;627144;F;404;1;465;1;;;2;;;1;6; ;;15051991;G;1834;0;1991;12022007;;;;;;;;12161724;;11459669
L322;;10258537;P;855457;F;404;1;770; ;;;2;;;1;6; ;;15051991;G;1834;0;1991;12022007;;;;;;;;12161724;;11461028
L322;;10258537;P;627144;F;404;1;465;1;;;2;;;2;24; ;;29082003;G;3587;0;2003;1102004;;;;;;;;13098839;;11459674
L322;;10258537;P;855457;F;404;1;770; ;;;2;;;2;24; ;;29082003;G;3587;0;2003;1102004;;;;;;;;13098839;;11461029
L322;;10258875;P;627804;F;404;1;844; ;;;2;;;1;2;C;10824760;12021992;G;607;0;1992;16042007;;;;;;;;12200708;;11461263
L322;;10258875;P;627803;F;404;1;844; ;;;2;;;1;2;C;10824760;12021992;G;607;0;1992;16042007;;;;;;;;12200708;;11461261
L322;;10262312;P;1003148;F;404;1;678; ;;;1;;;0;0; ;;23041979;G;971;0;1979;22022007;;;;;;;;12171401;;11460787
L322;;10262312;P;1003147;F;404;1;678; ;;;1;;;0;0; ;;23041979;G;971;0;1979;22022007;;;;;;;;12171401;;11460786
L322;;10262957;P;628101;F;404;1;232/1; ;;;1;;;0;0; ;;2031999;G;903;0;1999;15092005;;;;;;;;10498584;;11458543
L322;;10263157;P;1000331;F;404;1;321/2;2;;;1;;;0;0; ;;12031974;G;653;0;1974;12032007;;;;;;;;12182529;;11458946
L322;;10263157;P;1000331;F;404;1;323;3;;;1;;;0;0; ;;20041988;G;1458;0;1988;15032007;;;;;;;;12185360;;11458949
L322;;10263157;P;1000331;F;404;1;323;2;;;1;;;0;0; ;;20041988;G;1458;0;1988;15032007;;;;;;;;12185360;;11458948
L322;;10263157;P;1000331;F;404;1;323;1;;;1;;;0;0; ;;20041988;G;1458;0;1988;15032007;;;;;;;;12185360;;11458947
L322;;10263157;P;627718;F;404;1;798; ;;;1;;;0;0; ;;9021994;G;468;0;1994;3042007;;;;;;;;12194310;;11461084
L322;;10263157;P;627718;F;404;1;365/2; ;;;1;;;0;0; ;;9021994;G;468;0;1994;3042007;;;;;;;;12194310;;11459188
L322;;10295401;P;627652;F;404;1;732; ;;;1;;;0;0; ;;22031985;G;941;0;1985;15022007;;;;;;;;12165961;;11460935
L322;;10295401;P;627887;F;404;1;896; ;;;1;;;0;0; ;;4122006;G;6054;0;2006;19022007;;;;;;;;13247148;;11461403
L322;;10295401;P;627295;F;404;1;545;4;;;1;;;0;0; ;;4122006;G;6054;0;2006;19022007;;;;;;;;13247148;;11460050
L322;;10296656;P;626971;F;404;1;260;2;;;2;;;1;2; ;;18031996;G;1187;0;1996;22112006;;;;;;;;12110074;;11458772
L322;;10296656;P;627883;F;404;1;890; ;;;2;;;1;2; ;;13072016;G;3594;0;2016;4102016;;;;;;;;13745197;;11724804
L322;;10298971;P;627309;F;404;1;553;4;;;1;;;0;0; ;;17032000;G;1076;0;2000;6042007;;;;;;;;12196924;;11460127
L322;;10299401;P;628098;F;404;1;440/1;2;;;1;;;0;0; ;;4042005;G;1610;0;2005;18042005;;;;;;;;13169740;;11459591
L322;;10299506;P;627386;F;404;1;598; ;;;1;;;0;0; ;;4021969;G;249;0;1969;12042007;;;;;;;;12199001;;11460323
L322;;10299506;P;744584;F;404;1;598; ;;;1;;;0;0; ;;4021969;G;249;0;1969;12042007;;;;;;;;12199001;;11460324
L322;;10671148;P;855309;F;404;1;313/5; ;;;2;;;25;2688; ;;21041966;G;754;0;1966;9022007;;;;;;;;12161023;;11458894
L322;;10671148;P;855432;F;404;1;578/2; ;;;2;;;25;1344; ;;21041966;G;754;0;1966;9022007;;;;;;;;12161023;;11460232
L322;;10671148;P;855431;F;404;1;578/1; ;;;2;;;25;1344; ;;21041966;G;754;0;1966;9022007;;;;;;;;12161023;;11460200
L322;;10679859;P;627511;F;404;1;644; ;;;1;;;0;0; ;;6111974;G;2643;0;1974;23032007;;;;;;;;12189515;;11460637
L322;;10679859;P;627512;F;404;1;644; ;;;1;;;0;0; ;;6111974;G;2643;0;1974;23032007;;;;;;;;12189515;;11460638
L322;;10679859;P;716803;F;404;1;974; ;;;1;;;0;0; ;;10111982;G;3483;0;1982;23032007;;;;;;;;12189555;;11461716
L322;;10679859;P;716802;F;404;1;974; ;;;1;;;0;0; ;;10111982;G;3483;0;1982;23032007;;;;;;;;12189555;;11461715
L322;;10680046;P;627740;F;404;1;816;1;;;2;;;1;2;C;10822663;20071978;G;1518;0;1978;19042007;;;;;;;;12203028;;11461142
L322;;10680046;P;627741;F;404;1;816;1;;;2;;;1;2;C;10822663;20071978;G;1518;0;1978;19042007;;;;;;;;12203028;;11461144
L322;;10680046;P;627742;F;404;1;816;1;;;2;;;1;2;C;10822663;20071978;G;1518;0;1978;19042007;;;;;;;;12203028;;11461146
L322;;10680046;P;627742;F;404;1;816;2;;;2;;;1;2;C;10822663;20071978;G;1518;0;1978;19042007;;;;;;;;12203028;;11461148
L322;;10680046;P;627743;F;404;1;816;1;;;2;;;1;2;C;10822663;20071978;G;1518;0;1978;19042007;;;;;;;;12203028;;11461150
L322;;10684826;P;626763;F;404;1;321/1;1;;;1;;;0;0; ;;29011974;G;287;0;1974;15032007;;;;;;;;12185264;;11458943
L322;;10684826;P;626769;F;404;1;321/2;1;;;2;;;1;12; ;;29011974;G;287;0;1974;15032007;;;;;;;;12185264;;11458944
L322;;10684826;P;626769;F;404;1;321/2;1;;;2;;;11;12; ;;29071997;G;2887;0;1997;15032007;;;;;;;;12185270;;11458945
L322;;10685071;P;627069;F;404;1;387; ;;;2;;;1;4;C;10824844;19052006;G;2549;0;2006;26062006;;;;;;;;13221385;;11459377
L322;;10685147;P;726898;F;404;1;316/1;6;;;1;;;0;0; ;;6072004;G;3066;0;2004;11112004;;;;;;;;13137397;;11459065
L322;;10685156;P;855191;F;404;1;127; ;;;1;;;0;0; ;;17092002;G;3727;0;2002;25092002;;;;;;;;13057916;;11458260
L322;;10685261;P;628040;F;404;1;166/1; ;;;2;;;1;6; ;;11042003;G;1667;0;2003;24042003;;;;;;;;13083537;;11458390
L322;;10685261;P;628056;F;404;1;166/2; ;;;2;;;1;6; ;;11042003;G;1667;0;2003;24042003;;;;;;;;13083537;;11458376
L322;;10685357;P;743876;F;404;1;981; ;;;2;;;1;2;C;11690235;14032013;G;1509;0;2013;22032013;;;;;;;;13583816;;11461749
L322;;10685357;P;743877;F;404;1;981; ;;;2;;;1;2;C;11690235;14032013;G;1509;0;2013;22032013;;;;;;;;13583816;;11461751
L322;;10685586;P;627638;F;404;1;719; ;;;2;;;1;3; ;;5061996;G;2264;0;1996;7112006;;;;;;;;12097170;;11460895
L322;;10685586;P;627503;F;404;1;640; ;;;2;;;1;6; ;;5061996;G;2264;0;1996;7112006;;;;;;;;12097170;;11460620
L322;;10685586;P;627502;F;404;1;640; ;;;2;;;1;6; ;;5061996;G;2264;0;1996;7112006;;;;;;;;12097170;;11460616
L322;;10685586;P;627300;F;404;1;546; ;;;2;;;1;3; ;;5061996;G;2264;0;1996;7112006;;;;;;;;12097170;;11460062
L322;;10685586;P;627639;F;404;1;719; ;;;2;;;1;3; ;;5061996;G;2264;0;1996;7112006;;;;;;;;12097170;;11460898
L322;;10685586;P;627299;F;404;1;546; ;;;2;;;1;3; ;;5061996;G;2264;0;1996;7112006;;;;;;;;12097170;;11460058
L322;;10687950;P;627493;F;404;1;631; ;;;1;;;0;0; ;;11092000;G;3334;0;2000;17042007;;;;;;;;12201223;;11460596
L322;;10687950;P;627492;F;404;1;631; ;;;1;;;0;0; ;;11092000;G;3334;0;2000;17042007;;;;;;;;12201223;;11460595
L322;;10690973;P;627595;F;404;1;692; ;;;1;;;0;0; ;;1031990;G;852;0;1990;3052007;;;;;;;;12207957;;11460831
L322;;10690973;P;627594;F;404;1;692; ;;;1;;;0;0; ;;1031990;G;852;0;1990;3052007;;;;;;;;12207957;;11460830
L322;;10691275;P;628130;F;404;1;200/4; ;;;2;;;1;2; ;;16111990;G;4037;0;1990;5042007;;;;;;;;12195915;;11458457
L322;;10691275;P;628139;F;404;1;473/1; ;;;2;;;1;2; ;;16111990;G;4037;0;1990;5042007;;;;;;;;12195915;;11459749
L322;;10691275;P;628140;F;404;1;473/1; ;;;2;;;1;2; ;;16111990;G;4037;0;1990;5042007;;;;;;;;12195915;;11459751
L322;;10693448;P;855432;F;404;1;578/2; ;;;2;;;182;6400; ;;28042004;G;1856;0;2004;23112004;;;;;;;;13128895;;11460233
L322;;10693448;P;855309;F;404;1;313/5; ;;;2;;;182;12800; ;;28042004;G;1856;0;2004;23112004;;;;;;;;13128895;;11459043
L322;;10693448;P;855431;F;404;1;578/1; ;;;2;;;65;6400; ;;28042004;G;1856;0;2004;23112004;;;;;;;;13128895;;11460201
L322;;10694207;P;958919;F;404;1;47/2;1;;;2;;;2;18; ;;13121993;G;4247;0;1993;23102006;;;;;;;;12087446;;11457835
L322;;10694207;P;626719;F;404;1;48/1;6;;;2;;;2;18; ;;13121993;G;4247;0;1993;23102006;;;;;;;;12087446;;11457861
L322;;10694207;P;992614;F;404;1;48/6; ;;;2;;;10;288; ;;13121993;G;4247;0;1993;23102006;;;;;;;;12087446;;11457884
L322;;10694375;P;783442;F;404;1;1000; ;;;1;;;0;0; ;;18012010;G;279;0;2010;29012010;;;;;;;;13417185;;11461793
L322;;10694375;P;783443;F;404;1;1000; ;;;1;;;0;0; ;;18012010;G;279;0;2010;29012010;;;;;;;;13417185;;11461794
L322;;10703836;P;627666;F;404;1;746; ;;;2;;;1;2;C;10822291;16071986;G;2539;0;1986;23042007;;;;;;;;12205130;;11460984
L322;;10711065;P;627703;F;404;1;782; ;;;2;;;1;6; ;;5092006;G;4324;0;2006;28122006;;;;;;;;13234984;;11461049
L322;;10711065;P;628001;F;404;1;389/1; ;;;2;;;1;6; ;;5092006;G;4324;0;2006;28122006;;;;;;;;13234984;;11459380
L322;;10711555;P;627871;F;404;1;881; ;;;1;;;0;0; ;;24111992;G;3913;0;1992;3052007;;;;;;;;12208214;;11461384
L322;;10711609;P;855309;F;404;1;313/5; ;;;2;;;234;2560; ;;31081946;G;380;0;1946;30012007;;;;;;;;12153913;;11458895
L322;;10711609;P;855431;F;404;1;578/1; ;;;2;;;234;1280; ;;31081946;G;380;0;1946;30012007;;;;;;;;12153913;;11460202
L322;;10711609;P;855432;F;404;1;578/2; ;;;2;;;234;1280; ;;31081946;G;380;0;1946;30012007;;;;;;;;12153913;;11460234
L322;;10711609;P;855431;F;404;1;578/1; ;;;2;;;351;1280; ;;20041955;G;605;0;1955;5042007;;;;;;;;12196425;;11460203
