CodiceAmministrativo;Sezione;IdentificativoImmobile;TipoImmobile;Progressivo;TipoRecord;Zona;Categoria;Classe;Consistenza;Superficie;RenditaLire;RenditaEuro;Lotto;Edificio;Scala;Interno1;Interno2;Piano1;Piano2;Piano3;Piano4;DataDiEdifica;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiEfficacia;DataDiRegistrazioneInAtti;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;Partita;Annotazione;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;ProtocolloNotifica;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121628;F;2;1; ;A04;3;6;;438000;226,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121630;F;1;1; ;A04;3;4,5;;328500;169,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121631;F;1;1; ;A04;3;3,5;;255500;131,95;;;;;;T;;;;27121993;7091995;V;15175;1;1993;;;;;;;1001022;;1434159;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121632;F;2;1; ;A04;3;3,5;;255500;131,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121633;F;1;1; ;A04;3;3,5;;255500;131,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121634;F;1;1; ;A04;3;3,5;;255500;131,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121636;F;3;1; ;C06;3;43;;103200;53,3;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;1246;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121637;F;2;1; ;A04;3;4,5;;328500;169,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121638;F;2;1; ;A03;3;5,5;;401500;207,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121640;F;4;1; ;A04;3;6,5;;474500;245,06;;;;;;T;;;;1071988;3111995;V;2635;2;1988;;;;;;;1000692;;1446534;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121641;F;3;1; ;A04;2;5;;310000;160,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121642;F;1;1; ;A04;2;3,5;;217000;112,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121644;F;1;1; ;A03;1;4,5;;238500;123,17;;;;;;T;;;;30101987;16091999;V;7618;1;1987;;;;;;;1000365;;1689462;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121645;F;1;1; ;A03;1;7;;371000;191,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121646;F;1;1; ;A03;1;5,5;;291500;150,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121647;F;2;1; ;A03;3;8,5;;620500;320,46;;;;;;T;;;;2031995;2031995;V;3272;1;1995;;;;;;;1051;;1418596;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121648;F;3;1; ;A04;3;7,5;;547500;282,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121650;F;1;1; ;A04;2;3;;186000;96,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121651;F;1;1; ;A04;2;5;;310000;160,1;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;121;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121654;F;1;1; ;A04;1;3;;159000;82,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121655;F;1;1; ;A04;2;5,5;;341000;176,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121656;F;1;1; ;A04;2;2,5;;155000;80,05;;;;;;T;1;;;20031987;13101988;D;5358;;1987;;;;;;;1000288;;1106252;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121657;F;1;1; ;A04;2;2,5;;155000;80,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121658;F;4;1; ;C06;1;93;;158100;81,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121659;F;3;1; ;C06;2;85;;170000;87,8;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;985;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121660;F;4;1; ;A03;3;5,5;;401500;207,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121661;F;3;1; ;A03;3;5,5;;401500;207,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121662;F;3;1; ;A03;1;6,5;;344500;177,92;;;;;;T;;;;1010001;30061987;I;;0;;;;;;;;622;;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121663;F;2;1; ;C06;3;109;;261600;135,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121664;F;2;1; ;A03;2;7,5;;465000;240,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121666;F;2;1; ;A03;2;7;;434000;224,14;;;;;;;;;;1010001;30061987;I;;0;;;;;;;;50;AREA URBANA MQ 145;1083949;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121667;F;2;1; ;A03;2;7,5;;465000;240,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121668;F;2;1; ;C06;3;45;;108000;55,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121670;F;1;1; ;A04;3;3,5;;255500;131,95;;;;;;T;1;;;4101993;26061995;A;11955;2;1993;;;;;;;2439;;1429244;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121672;F;2;1; ;A03;1;5,5;;291500;150,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121675;F;5;1; ;A02;1;8;;784000;404,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121677;F;5;1; ;C06;3;81;;194400;100,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A281; ;121681;F;1;1; ;A04;2;4,5;;279000;144,09;;;;;;S1;;;;4101993;26061995;A;11955;2;1993;;;;;;;2439;;1429244;;;;;;;;;;;;;;;;;;;;;;;;;;;;
